neighbourhood,population,planning_priority,priority_reason,short_recommendation,service_type,objective
benicalap,44570.0,72.4,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
rafalell vistabella,7152.0,63.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reach the largest population
malilla,26253.0,58.2,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
patraix,24636.0,55.5,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
mahuella tauladella,7152.0,55.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reach the largest population
torrefiel,27938.0,54.6,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
arrancapins,23611.0,54.3,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
russafa,25514.0,54.2,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
benimaclet,23390.0,53.8,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
sant pau,19098.0,53.5,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,healthcare,Reach the largest population
rafalell vistabella,7152.0,85.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
mahuella tauladella,7152.0,67.9,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
el saler,2030.0,54.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
les cases de barcena,395.0,50.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
faitanar,2190.0,47.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
benicalap,44570.0,47.6,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Reduce average distance
sant pau,19098.0,47.1,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,healthcare,Reduce average distance
la carrasca,3321.0,47.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
pinedo,2724.0,46.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
el palmar,759.0,45.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Reduce average distance
rafalell vistabella,7152.0,87.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Prioritise underserved neighbourhoods
mahuella tauladella,7152.0,77.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Prioritise underserved neighbourhoods
les cases de barcena,395.0,66.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Prioritise underserved neighbourhoods
faitanar,2190.0,64.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Prioritise underserved neighbourhoods
la carrasca,3321.0,64.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Prioritise underserved neighbourhoods
sant pau,19098.0,62.3,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,healthcare,Prioritise underserved neighbourhoods
benicalap,44570.0,61.5,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Prioritise underserved neighbourhoods
malilla,26253.0,61.4,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Prioritise underserved neighbourhoods
ciutat fallera,6397.0,61.3,low coverage relative to population,Compare this area with adjacent underserved neighbourhoods.,healthcare,Prioritise underserved neighbourhoods
cami de vera,5326.0,61.1,low coverage relative to population,Compare this area with adjacent underserved neighbourhoods.,healthcare,Prioritise underserved neighbourhoods
rafalell vistabella,7152.0,78.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Balanced impact
mahuella tauladella,7152.0,68.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Balanced impact
benicalap,44570.0,63.4,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Balanced impact
malilla,26253.0,58.1,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Balanced impact
sant pau,19098.0,57.1,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,healthcare,Balanced impact
les cases de barcena,395.0,56.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Balanced impact
patraix,24636.0,55.7,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Balanced impact
arrancapins,23611.0,54.8,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,healthcare,Balanced impact
faitanar,2190.0,54.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Balanced impact
la carrasca,3321.0,54.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,healthcare,Balanced impact
benicalap,44570.0,70.8,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Reach the largest population
rafalell vistabella,7152.0,63.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reach the largest population
malilla,26253.0,60.1,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Reach the largest population
mahuella tauladella,7152.0,55.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reach the largest population
nou moles,27844.0,53.0,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Reach the largest population
sant pau,19098.0,52.9,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Reach the largest population
torrefiel,27938.0,52.6,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Reach the largest population
el grau,10096.0,48.2,access is weaker than other neighbourhoods,Compare this area with adjacent underserved neighbourhoods.,education,Reach the largest population
benimamet,14309.0,47.0,access is weaker than other neighbourhoods,Compare this area with adjacent underserved neighbourhoods.,education,Reach the largest population
el perellonet,1596.0,45.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reach the largest population
rafalell vistabella,7152.0,85.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
mahuella tauladella,7152.0,67.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
el saler,2030.0,58.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
el palmar,759.0,57.5,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
el perellonet,1596.0,56.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
les cases de barcena,395.0,51.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
malilla,26253.0,49.0,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Reduce average distance
faitanar,2190.0,48.5,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
pinedo,2724.0,48.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Reduce average distance
el grau,10096.0,48.2,access is weaker than other neighbourhoods,Compare this area with adjacent underserved neighbourhoods.,education,Reduce average distance
rafalell vistabella,7152.0,87.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
mahuella tauladella,7152.0,76.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
el perellonet,1596.0,69.9,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
les cases de barcena,395.0,66.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
el saler,2030.0,66.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
faitanar,2190.0,65.3,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
el grau,10096.0,64.6,access is weaker than other neighbourhoods,Compare this area with adjacent underserved neighbourhoods.,education,Prioritise underserved neighbourhoods
el palmar,759.0,64.3,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
malilla,26253.0,64.1,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Prioritise underserved neighbourhoods
pinedo,2724.0,62.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Prioritise underserved neighbourhoods
rafalell vistabella,7152.0,78.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Balanced impact
mahuella tauladella,7152.0,68.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Balanced impact
benicalap,44570.0,61.4,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Balanced impact
malilla,26253.0,60.7,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Balanced impact
el perellonet,1596.0,59.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Balanced impact
el saler,2030.0,57.9,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Balanced impact
el grau,10096.0,56.7,access is weaker than other neighbourhoods,Compare this area with adjacent underserved neighbourhoods.,education,Balanced impact
sant pau,19098.0,56.3,access is weaker than other neighbourhoods,Prioritise a location that can serve nearby high-population areas.,education,Balanced impact
les cases de barcena,395.0,56.3,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Balanced impact
el palmar,759.0,55.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,education,Balanced impact
benicalap,44570.0,71.1,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,libraries,Reach the largest population
aiora,25130.0,63.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reach the largest population
benimaclet,23390.0,61.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reach the largest population
sant pau,19098.0,58.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reach the largest population
el perellonet,1596.0,57.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reach the largest population
nou moles,27844.0,57.7,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,libraries,Reach the largest population
torrefiel,27938.0,57.5,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,libraries,Reach the largest population
benimamet,14309.0,54.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reach the largest population
rafalell vistabella,7152.0,54.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reach the largest population
la creu del grau,15329.0,53.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reach the largest population
el perellonet,1596.0,83.5,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
el palmar,759.0,70.3,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
el saler,2030.0,68.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
rafalell vistabella,7152.0,65.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
mahuella tauladella,7152.0,58.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
massarrojos,2705.0,55.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
pinedo,2724.0,54.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
benimamet,14309.0,53.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
aiora,25130.0,52.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
benimaclet,23390.0,52.3,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Reduce average distance
el perellonet,1596.0,85.3,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
el palmar,759.0,77.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
el saler,2030.0,76.9,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
rafalell vistabella,7152.0,75.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
mahuella tauladella,7152.0,71.8,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
aiora,25130.0,70.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
benimaclet,23390.0,70.1,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
benimamet,14309.0,69.5,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
sant pau,19098.0,69.4,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
massarrojos,2705.0,69.2,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Prioritise underserved neighbourhoods
el perellonet,1596.0,75.7,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
el palmar,759.0,67.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
el saler,2030.0,67.1,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
rafalell vistabella,7152.0,67.1,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
aiora,25130.0,65.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
benimaclet,23390.0,64.6,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
sant pau,19098.0,63.0,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
mahuella tauladella,7152.0,62.9,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
benimamet,14309.0,62.1,few nearby facilities for residents,Test a candidate site close to this neighbourhood.,libraries,Balanced impact
benicalap,44570.0,61.7,low coverage relative to population,Prioritise a location that can serve nearby high-population areas.,libraries,Balanced impact
