candidate,latitude,longitude,mean_accessibility_gain,coverage_gain,neighbourhoods_improved,mean_distance_reduction_m,population_benefited,directly_reached_population,candidate_population,overall_impact_score,simulation_score,service_type,objective
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0374245514395048,1,2,103.74245514395047,9856,7152,7152,60.9,60.9,healthcare,Reach the largest population
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0374245514395293,1,2,103.74245514395292,8476,7152,7152,60.0,60.0,healthcare,Reach the largest population
patraix,39.46271191516074,-0.3918698046279201,0.0445637636293914,0,1,4.45637636293914,68469,82014,24636,40.7,40.7,healthcare,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.03552756926362903,0,1,3.552756926362903,67269,56327,44570,39.6,39.6,healthcare,Reach the largest population
malilla,39.44475150674449,-0.3771846256258872,0.021758296487187797,0,1,2.1758296487187794,45366,39550,26253,24.6,24.6,healthcare,Reach the largest population
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0374245514395048,1,2,103.74245514395047,9856,7152,7152,85.0,85.0,healthcare,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0374245514395293,1,2,103.74245514395292,8476,7152,7152,77.9,77.9,healthcare,Reduce average distance
les cases de barcena,39.52468035710801,-0.35945817183867684,0.5930860470784247,1,3,59.30860470784248,3212,395,395,45.9,45.9,healthcare,Reduce average distance
faitanar,39.44257373883958,-0.41157724879913676,0.13825260473498596,1,1,13.825260473498595,8071,2190,2190,35.8,35.8,healthcare,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,0.4769185779237192,1,2,47.69185779237193,2100,2030,2030,26.3,26.3,healthcare,Reduce average distance
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0374245514395048,1,2,103.74245514395047,9856,7152,7152,56.0,56.0,healthcare,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0374245514395293,1,2,103.74245514395292,8476,7152,7152,53.7,53.7,healthcare,Prioritise underserved neighbourhoods
la carrasca,39.4803921384143,-0.34114765698933613,0.11389006648852945,1,1,11.389006648852947,27382,22532,3321,45.0,45.0,healthcare,Prioritise underserved neighbourhoods
les cases de barcena,39.52468035710801,-0.35945817183867684,0.5930860470784247,1,3,59.30860470784248,3212,395,395,40.6,40.6,healthcare,Prioritise underserved neighbourhoods
faitanar,39.44257373883958,-0.41157724879913676,0.13825260473498596,1,1,13.825260473498595,8071,2190,2190,13.8,13.8,healthcare,Prioritise underserved neighbourhoods
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0374245514395048,1,2,103.74245514395047,9856,7152,7152,60.9,60.9,healthcare,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0374245514395293,1,2,103.74245514395292,8476,7152,7152,60.0,60.0,healthcare,Balanced impact
benicalap,39.49300556640789,-0.3910023886392156,0.03552756926362903,0,1,3.552756926362903,67269,56327,44570,40.4,40.4,healthcare,Balanced impact
malilla,39.44475150674449,-0.3771846256258872,0.021758296487187797,0,1,2.1758296487187794,45366,39550,26253,25.1,25.1,healthcare,Balanced impact
sant pau,39.48666824896756,-0.4106066675830086,0.08660312999992738,0,1,8.660312999992739,31593,19098,19098,17.6,17.6,healthcare,Balanced impact
mahuella tauladella,39.544068469913306,-0.336135965967794,0.9571500686023846,1,2,95.71500686023843,9762,7152,7152,61.1,61.1,education,Reach the largest population
rafalell vistabella,39.55880509431351,-0.30316934629898423,0.957150068602409,1,2,95.7150068602409,8204,7152,7152,60.0,60.0,education,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.017126658244986805,0,1,1.7126658244986805,67269,56327,44570,40.0,40.0,education,Reach the largest population
nou moles,39.471387219530456,-0.3986202091698814,0.01896461141425852,0,1,1.8964611414258519,60923,59035,27844,35.8,35.8,education,Reach the largest population
malilla,39.44475150674449,-0.3771846256258872,0.07842770983533562,0,1,7.842770983533561,45366,39550,26253,27.1,27.1,education,Reach the largest population
mahuella tauladella,39.544068469913306,-0.336135965967794,0.9571500686023846,1,2,95.71500686023843,9762,7152,7152,95.0,95.0,education,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,0.957150068602409,1,2,95.7150068602409,8204,7152,7152,88.0,88.0,education,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,0.4607529919292155,1,2,46.07529919292155,2073,2030,2030,37.5,37.5,education,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,0.4607529919292155,1,2,46.07529919292155,842,759,759,31.9,31.9,education,Reduce average distance
el perellonet,39.29640631975548,-0.2941560038366502,0.31129491582853336,1,1,31.129491582853337,1596,1596,1596,8.4,8.4,education,Reduce average distance
mahuella tauladella,39.544068469913306,-0.336135965967794,0.9571500686023846,1,2,95.71500686023843,9762,7152,7152,85.0,85.0,education,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,0.957150068602409,1,2,95.7150068602409,8204,7152,7152,77.4,77.4,education,Prioritise underserved neighbourhoods
les cases de barcena,39.52468035710801,-0.35945817183867684,0.5119852398910006,1,3,51.19852398910007,2791,395,395,40.2,40.2,education,Prioritise underserved neighbourhoods
el saler,39.3519159624178,-0.3173995552550035,0.4607529919292155,1,2,46.07529919292155,2073,2030,2030,24.3,24.3,education,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,0.31129491582853336,1,1,31.129491582853337,1596,1596,1596,5.0,5.0,education,Prioritise underserved neighbourhoods
mahuella tauladella,39.544068469913306,-0.336135965967794,0.9571500686023846,1,2,95.71500686023843,9762,7152,7152,65.0,65.0,education,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,0.957150068602409,1,2,95.7150068602409,8204,7152,7152,64.0,64.0,education,Balanced impact
benicalap,39.49300556640789,-0.3910023886392156,0.017126658244986805,0,1,1.7126658244986805,67269,56327,44570,40.0,40.0,education,Balanced impact
malilla,39.44475150674449,-0.3771846256258872,0.07842770983533562,0,1,7.842770983533561,45366,39550,26253,28.6,28.6,education,Balanced impact
el perellonet,39.29640631975548,-0.2941560038366502,0.31129491582853336,1,1,31.129491582853337,1596,1596,1596,19.4,19.4,education,Balanced impact
aiora,39.465733750735495,-0.34336066758583883,0.45464224302913353,5,8,45.46422430291336,69757,96387,25130,72.1,72.1,libraries,Reach the largest population
benimaclet,39.48455759083563,-0.3593988522017185,0.41184136803058036,3,7,41.184136803058045,57083,46151,23390,55.2,55.2,libraries,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.20113322952688606,1,6,20.113322952688605,70183,56327,44570,52.0,52.0,libraries,Reach the largest population
el perellonet,39.29640631975548,-0.2941560038366502,3.4168139755391977,1,3,341.68139755391985,2439,1596,1596,30.0,30.0,libraries,Reach the largest population
sant pau,39.48666824896756,-0.4106066675830086,0.4171086026157106,1,3,41.71086026157106,35574,19098,19098,21.6,21.6,libraries,Reach the largest population
mahuella tauladella,39.544068469913306,-0.336135965967794,1.608559058729866,1,3,160.85590587298657,10307,7152,7152,66.4,66.4,libraries,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,3.766102966829929,1,3,376.6102966829929,3060,2030,2030,58.5,58.5,libraries,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,3.757535718397017,1,3,375.7535718397017,2360,759,759,54.9,54.9,libraries,Reduce average distance
el perellonet,39.29640631975548,-0.2941560038366502,3.4168139755391977,1,3,341.68139755391985,2439,1596,1596,50.8,50.8,libraries,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.5062164829100744,1,2,150.62164829100743,9541,7152,7152,41.1,41.1,libraries,Reduce average distance
mahuella tauladella,39.544068469913306,-0.336135965967794,1.608559058729866,1,3,160.85590587298657,10307,7152,7152,66.4,66.4,libraries,Prioritise underserved neighbourhoods
el saler,39.3519159624178,-0.3173995552550035,3.766102966829929,1,3,376.6102966829929,3060,2030,2030,58.5,58.5,libraries,Prioritise underserved neighbourhoods
el palmar,39.33513789501845,-0.3515391664915657,3.757535718397017,1,3,375.7535718397017,2360,759,759,54.9,54.9,libraries,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,3.4168139755391977,1,3,341.68139755391985,2439,1596,1596,50.8,50.8,libraries,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.5062164829100744,1,2,150.62164829100743,9541,7152,7152,41.1,41.1,libraries,Prioritise underserved neighbourhoods
aiora,39.465733750735495,-0.34336066758583883,0.45464224302913353,5,8,45.46422430291336,69757,96387,25130,70.0,70.0,libraries,Balanced impact
el saler,39.3519159624178,-0.3173995552550035,3.766102966829929,1,3,376.6102966829929,3060,2030,2030,33.7,33.7,libraries,Balanced impact
el palmar,39.33513789501845,-0.3515391664915657,3.757535718397017,1,3,375.7535718397017,2360,759,759,33.3,33.3,libraries,Balanced impact
el perellonet,39.29640631975548,-0.2941560038366502,3.4168139755391977,1,3,341.68139755391985,2439,1596,1596,30.2,30.2,libraries,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.5062164829100744,1,2,150.62164829100743,9541,7152,7152,13.8,13.8,libraries,Balanced impact
patraix,39.46271191516074,-0.3918698046279201,0.1547365097620399,1,5,15.473650976203992,77206,82014,24636,66.3,66.3,sports facilities,Reach the largest population
arrancapins,39.464098529813356,-0.3842650020414394,0.24964629717687045,2,3,24.964629717687046,75575,101232,23611,61.7,61.7,sports facilities,Reach the largest population
russafa,39.46118918337599,-0.3737073163793981,0.16926007889999867,2,3,16.92600788999987,70369,93445,25514,57.9,57.9,sports facilities,Reach the largest population
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,45.0,45.0,sports facilities,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.04928229662617823,0,1,4.928229662617824,67269,56327,44570,34.7,34.7,sports facilities,Reach the largest population
el saler,39.3519159624178,-0.3173995552550035,2.7723006877263843,1,3,277.23006877263845,2952,2030,2030,59.2,59.2,sports facilities,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,2.763733439293472,1,3,276.3733439293472,2164,759,759,55.0,55.0,sports facilities,Reduce average distance
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,48.7,48.7,sports facilities,Reduce average distance
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0971120550596838,1,2,109.71120550596838,9919,7152,7152,45.0,45.0,sports facilities,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0971120550597084,1,2,109.71120550597084,8657,7152,7152,38.5,38.5,sports facilities,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,2.7723006877263843,1,3,277.23006877263845,2952,2030,2030,59.2,59.2,sports facilities,Prioritise underserved neighbourhoods
el palmar,39.33513789501845,-0.3515391664915657,2.763733439293472,1,3,276.3733439293472,2164,759,759,55.0,55.0,sports facilities,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,48.7,48.7,sports facilities,Prioritise underserved neighbourhoods
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0971120550596838,1,2,109.71120550596838,9919,7152,7152,45.0,45.0,sports facilities,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0971120550597084,1,2,109.71120550597084,8657,7152,7152,38.5,38.5,sports facilities,Prioritise underserved neighbourhoods
arrancapins,39.464098529813356,-0.3842650020414394,0.24964629717687045,2,3,24.964629717687046,75575,101232,23611,70.0,70.0,sports facilities,Balanced impact
el saler,39.3519159624178,-0.3173995552550035,2.7723006877263843,1,3,277.23006877263845,2952,2030,2030,50.4,50.4,sports facilities,Balanced impact
el palmar,39.33513789501845,-0.3515391664915657,2.763733439293472,1,3,276.3733439293472,2164,759,759,49.9,49.9,sports facilities,Balanced impact
el perellonet,39.29640631975548,-0.2941560038366502,2.423011696435654,1,3,242.30116964356537,2132,1596,1596,45.8,45.8,sports facilities,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.0971120550597084,1,2,109.71120550597084,8657,7152,7152,13.6,13.6,sports facilities,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,60.0,60.0,social services,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.4,40.4,social services,Reach the largest population
torrefiel,39.49519797034043,-0.37693215054694523,0.011026516007894803,0,1,1.1026516007894804,55671,54146,27938,32.1,32.1,social services,Reach the largest population
malilla,39.44475150674449,-0.3771846256258872,0.040243733903703255,0,1,4.024373390370325,45366,39550,26253,26.0,26.0,social services,Reach the largest population
sant pau,39.48666824896756,-0.4106066675830086,0.08607967037716589,0,1,8.60796703771659,31593,19098,19098,18.0,18.0,social services,Reach the largest population
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0289770020795486,1,2,102.89770020795483,9847,7152,7152,65.3,65.3,social services,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,64.5,64.5,social services,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,0.5691731273049062,1,2,56.917312730490615,2115,2030,2030,46.9,46.9,social services,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,0.5691731273049062,1,2,56.917312730490615,1002,759,759,46.3,46.3,social services,Reduce average distance
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.0,40.0,social services,Reduce average distance
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0289770020795486,1,2,102.89770020795483,9847,7152,7152,65.0,65.0,social services,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,64.2,64.2,social services,Prioritise underserved neighbourhoods
el saler,39.3519159624178,-0.3173995552550035,0.5691731273049062,1,2,56.917312730490615,2115,2030,2030,46.6,46.6,social services,Prioritise underserved neighbourhoods
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.0,40.0,social services,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,0.27360993916640514,1,1,27.360993916640517,1596,1596,1596,17.5,17.5,social services,Prioritise underserved neighbourhoods
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0289770020795486,1,2,102.89770020795483,9847,7152,7152,64.7,64.7,social services,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,63.9,63.9,social services,Balanced impact
el saler,39.3519159624178,-0.3173995552550035,0.5691731273049062,1,2,56.917312730490615,2115,2030,2030,46.3,46.3,social services,Balanced impact
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.0,40.0,social services,Balanced impact
malilla,39.44475150674449,-0.3771846256258872,0.040243733903703255,0,1,4.024373390370325,45366,39550,26253,27.0,27.0,social services,Balanced impact
russafa,39.46118918337599,-0.3737073163793981,0.4353045591113418,2,9,43.53045591113418,77894,93445,25514,66.3,66.3,culture,Reach the largest population
nou moles,39.471387219530456,-0.3986202091698814,0.7450721868338199,3,9,74.50721868338199,72947,59035,27844,65.4,65.4,culture,Reach the largest population
malilla,39.44475150674449,-0.3771846256258872,1.5043917957839241,3,12,150.4391795783924,60051,39550,26253,60.0,60.0,culture,Reach the largest population
torrefiel,39.49519797034043,-0.37693215054694523,0.4996966335538166,3,6,49.96966335538166,64206,54146,27938,33.7,33.7,culture,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,26.1,26.1,culture,Reach the largest population
el saler,39.3519159624178,-0.3173995552550035,3.6926147568694585,1,3,369.2614756869458,3054,2030,2030,60.4,60.4,culture,Reduce average distance
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,60.0,60.0,culture,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,3.6840475084365454,1,3,368.40475084365454,2336,759,759,59.9,59.9,culture,Reduce average distance
el perellonet,39.29640631975548,-0.2941560038366502,3.343325765578727,1,3,334.33257655787276,2415,1596,1596,57.1,57.1,culture,Reduce average distance
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.309018902261893,1,2,130.9018902261893,9202,7152,7152,23.8,23.8,culture,Reduce average distance
el saler,39.3519159624178,-0.3173995552550035,3.6926147568694585,1,3,369.2614756869458,3054,2030,2030,60.4,60.4,culture,Prioritise underserved neighbourhoods
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,60.0,60.0,culture,Prioritise underserved neighbourhoods
el palmar,39.33513789501845,-0.3515391664915657,3.6840475084365454,1,3,368.40475084365454,2336,759,759,59.9,59.9,culture,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,3.343325765578727,1,3,334.33257655787276,2415,1596,1596,57.1,57.1,culture,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.309018902261893,1,2,130.9018902261893,9202,7152,7152,23.8,23.8,culture,Prioritise underserved neighbourhoods
malilla,39.44475150674449,-0.3771846256258872,1.5043917957839241,3,12,150.4391795783924,60051,39550,26253,74.8,74.8,culture,Balanced impact
torrefiel,39.49519797034043,-0.37693215054694523,0.4996966335538166,3,6,49.96966335538166,64206,54146,27938,55.3,55.3,culture,Balanced impact
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,40.0,40.0,culture,Balanced impact
el palmar,39.33513789501845,-0.3515391664915657,3.6840475084365454,1,3,368.40475084365454,2336,759,759,33.3,33.3,culture,Balanced impact
el perellonet,39.29640631975548,-0.2941560038366502,3.343325765578727,1,3,334.33257655787276,2415,1596,1596,30.5,30.5,culture,Balanced impact
